property_type,borough,surface_covered_in_m2,price_per_m2,lat,lon,price_aprox_usd
apartment,Coyoacán,540.0,2319.751852,19.334351,-99.11442,66014.21
apartment,Benito Juárez,112.0,43303.57143,19.403489,-99.156312,255529.44
house,Gustavo A. Madero,204.0,9161.764706,19.515999,-99.155679,98471.03
apartment,Benito Juárez,60.0,17366.66667,19.379109,-99.187689,54899.31
apartment,Miguel Hidalgo,85.0,11529.41176,19.452419,-99.175058,51632.75
apartment,Tlalpan,50.0,26000.0,19.287188,-99.170525,68492.42
apartment,Cuauhtémoc,,,19.4152179,-99.1790121,254709.42
apartment,Azcapotzalco,60.0,13983.33333,19.475187,-99.175019,44203.95
house,Gustavo A. Madero,370.0,14648.64865,19.508795,-99.125714,285628.46
apartment,Miguel Hidalgo,100.0,92000.0,19.438042,-99.188619,484715.65
apartment,Benito Juárez,120.0,19083.33333,19.367931,-99.170262,120652.04
apartment,Benito Juárez,81.0,33333.33333,19.367424,-99.185753,142253.5
apartment,Iztapalapa,101.0,11386.13861,19.314895,-99.09423,60589.45
apartment,Tlalpan,76.0,11605.26316,19.273716,-99.186416,46469.47
apartment,Benito Juárez,64.0,41500.0,19.365391,-99.18956,139968.48
apartment,Benito Juárez,75.0,21973.33333,19.396862,-99.172659,86827.32
apartment,Álvaro Obregón,,,19.3317863,-99.244927,144595.94
apartment,Iztapalapa,43.0,8400.209302,19.346609,-99.072311,19030.83
apartment,Iztacalco,46.0,18456.52174,19.410307,-99.065399,44730.82
apartment,Benito Juárez,106.0,33018.86792,19.3714480121,-99.149787426,184446.42
house,La Magdalena Contreras,294.0,9789.387755,19.307933,-99.240102,151671.87
house,Gustavo A. Madero,250.0,11600.0,19.486041,-99.067297,152790.8
apartment,Iztacalco,69.0,15043.47826,19.422243,-99.127305,54688.57
apartment,Azcapotzalco,85.0,16831.01176,19.469418,-99.164299,75375.18
apartment,Benito Juárez,116.0,15490.77586,19.387782,-99.186194,94673.92
apartment,Miguel Hidalgo,60.0,98333.33333,19.411472,-99.188522,310923.97
house,Coyoacán,300.0,9533.333333,19.311361,-99.109672,150719.07
apartment,Benito Juárez,213.0,40845.07042,19.388965,-99.171897,458372.4
